 Gender(0=Male;1=Female;) Height Weight Shoe_Size Shoe_Number Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=Grad;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V310 1 68 150 8.5 10 1 0 0 20 10 7 49 52 3 3 30 
V311 0 69 137 10.5 3 1 1 2 85 14 7 46 47 3 2 20 
V312 1 62 112 7.5 40 2 2 1 115 23 7 53 53 7 2 60 
V313 1 66 170 9 15 3 2 3 100 11 7 45 57 6 2 30 
V314 1 64 140 6.5 25 1 0 0 100 85 7 50 50 8 3 50 
V315 1 62 110 6 10 2 0 2 75 300 7 46 51 3 1 50 
V316 1 66 143 9 14 3 2 1 80 0 7 56 57 4 4 100 
V317 0 77 202 14 6 2 1 2 110 25 7 57 59 8 2 7 
V318 1 66 120 8.5 10 4 3 1 105 25 7 52 52 9 3 50 
V319 1 66 170 9.5 30 1 3 0 90 30 7 52 51 7 2 30 
V320 1 64 110 6.5 30 2 1 0 101 37 7 52 59 5 2 40 
V321 0 70 160 10 10 1 0 1 85 300 7 45 55 10 4 100 
V322 1 66 147 8.5 57 2 5 1 95 0 7 41 41 7 2 75 
V323 0 70 260 8.5 8 5 6 2 110 36 7 65 65 6 4 90 
V324 1 64 150 7.5 40 2 9 12 95 20 7 39 38 9 1 75 
V325 1 62 123 7 30 2 1 0 20 3 7 55 60 2 2 100 
V326 0 69 157 10.5 3 1 3 5 90 50 7 55 56 2 4 10 
V327 0 71 180 11 11 2 3 4 110 0 7 44 44 8 1 10 
V328 0 75 195 13 5 2 1 3 110 25 7 56 60 10 1 50 
V329 1 63 126 7 50 1 0 1 75 48 7 47 48 6 2 25 
V330 0 68 140 9 10 1 0 1 100 100 7 55 58 4 5 100 
V331 1 64 130 7.5 15 2 4 1 110 63 7 51 58 2 1 80 
V332 0 68 175 11.5 10 2 7 1 110 20 7 43 44 5 2 75 
V333 1 64 112 6.5 20 1 0 1 75 85 7 49 56 8 2 50 
V334 0 69 160 9 10 2 0 1 85 15 7 48 50 3 2 20 
V335 1 65 120 8 26 2 2 2 95 17 7 42 43 8 1 50 
V336 1 66 144 8 15 2 4 1 100 200 7 56 56 4 2 100 
V337 1 64 135 7.5 10 1 0 1 90 36 7 51 55 6 1 10 
V338 0 72 170 12 9 2 3 2 105 87 7 48 51 5 2 90 
V339 1 68 160 10 15 1 1 4 80 30 7 52 58 5 5 50 
V340 0 71 167 11 4 2 0 3 115 16 7 51 52 4 3 19 
V341 1 62 146 8 14 4 1 4 85 45 7 53 53 7 1 90 
V342 0 72 155 12 2 2 0 0 90 0 7 56 56 2 2 25 
V343 1 66 135 8.5 15 3 3 1 104 28 7 55 56 9 3 30 
V344 0 67 136 7 3 1 0 1 20 0 7 49 56 4 6 66 
V345 1 64 154 8 10 3 0 2 100 0 7 50 50 3 5 50 
V346 1 60 105 6 20 1 1 3 90 200 7 49 50 1 1 35 
V347 1 64 120 6.5 19 2 1 1 100 75 7 56 55 3 2 80 
V348 0 75 175 13 10 2 6 1 125 66 7 49 49 3 4 100 
V349 1 65 197 8.5 10 2 1 2 25 10 7 45 45 8 2 49 
V350 1 64 112 7.5 11 1 2 0 20 93 7 48 49 7 2 50 
V351 0 73 145 11 3 2 1 3 90 24 7 52 52 6 3 100 
V352 0 70 170 11 7 2 6 3 35 18 7 58 59 6 2 70 
V353 0 68 190 8.5 6 1 1 0 40 200 7 46 48 6 2 55 
