 Gender(0=Male;1=Female;) Height Weight GenderxHgt HeightZ WeightZ Shoe_Size Shoe_Number GenderxShoe_Size Year(1=Fresh;2=Soph;3=Jun;4=Sen;5=V5;) Pets Sibs Speed Cash Sleep Mother_age Father_age Random_Number Love(0=V0;1=V1;2=few;3=dozens;4=hundreds;5=thousands;6=millions;) Charity 
V209 0 74 195 0 1.783320736 1.498153441 11 8 0 2 1 2 110 30 7 47 51 10 3 60 
V210 0 77 185 0 2.539178634 1.177012749 13 15 0 2 0 1 111 3 7.5 58 61 8 2 95 
V211 1 67 135 67 0.019652305 -0.428690709 9.5 10 9.5 3 8 4 110 8 6 47 59 7 2 50 
V212 1 69 130 69 0.523557571 -0.589261055 9 15 9 2 3 1 90 20 8 53 59 4 2 30 
V213 0 73 150 0 1.531368103 0.053020328 9.5 8 0 2 2 6 110 10 6 40 51 7 1 40 
V214 1 67 130 67 0.019652305 -0.589261055 7.5 8 7.5 3 1 1 90 1 4 53 56 6 6 0 
V215 1 63 112 63 -0.988158226 -1.1673143 7.5 14 7.5 2 10 2 96 120 8.5 45 55 4 1 15 
V216 0 71 170 0 1.027462837 0.695301712 11.5 7 0 2 0 1 110 42 8 50 57 1 3 50 
V217 1 66 135 66 -0.232300328 -0.428690709 9 30 9 2 4 1 85 5 7 55 61 9 2 90 
V218 1 63 128 63 -0.988158226 -0.653489194 4.5 1 4.5 2 1 8 20 0 7.5 59 65 5 0 35 
V219 1 66 194 66 -0.232300328 1.466039372 10 20 10 2 3 1 100 13 7.5 43 47 7 3 60 
V220 1 60 106 60 -1.744016125 -1.359998715 6.5 32 6.5 2 1 1 108 22 6 42 42 3 2 60 
V221 1 63 116 63 -0.988158226 -1.038858024 8 25 8 2 4 1 90 13 6 48 49 3 2 50 
V222 1 72 155 72 1.27941547 0.213590674 11 8 11 2 4 7 90 0 7.5 46 47 2 2 20 
V223 0 73 177 0 1.531368103 0.920100196 11.5 5 0 2 1 1 95 102 7 51 53 4 3 10 
V224 1 66 115 66 -0.232300328 -1.070972093 7.5 12 7.5 2 3 1 90 40 8 59 65 8 5 40 
V225 1 68 135 68 0.271604938 -0.428690709 9 6 9 2 6 1 100 0 6 56 55 10 2 75 
V226 1 66 139 66 -0.232300328 -0.300234433 9 13 9 2 3 1 85 25 6.5 43 50 3 2 25 
V227 0 65 147 0 -0.48425296 -0.043321879 9.5 10 0 4 1 7 90 0 7.5 42 44 3 1 10 
V228 0 70 145 0 0.775510204 -0.107550018 10 5 0 2 2 1 100 6 9 45 46 3 1 25 
V229 1 65 165 65 -0.48425296 0.534731366 7.5 25 7.5 2 1 3 96 9 8 56 65 9 5 45 
V230 1 65 130 65 -0.48425296 -0.589261055 8 7 8 2 0 2 85 200 7 35 51 7 1 50 
V231 1 64 105 64 -0.736205593 -1.392112785 7 35 7 2 0 1 95 150 6.5 53 63 8 3 80 
V232 1 64 145 64 -0.736205593 -0.107550018 7 12 7 3 0 1 140 0 8 42 52 6 2 30 
V233 0 73 190 0 1.531368103 1.337583095 13 7 0 3 0 2 100 16 7.5 47 48 1 1 70 
V234 1 63 120 63 -0.988158226 -0.910401747 7.5 30 7.5 2 5 1 101 0 8 45 47 7 1 99 
V235 1 63 143 63 -0.988158226 -0.171778156 9 17 9 2 1 1 95 120 6.5 50 54 2 2 10 
V236 0 67 150 0 0.019652305 0.053020328 10 2 0 2 1 3 85 110 7 42 41 7 3 15 
V237 0 68 145 0 0.271604938 -0.107550018 9.5 6 0 3 1 2 91 22 7.5 50 52 7 2 20 
